date,open,high,low,close,adjusted_close,volume,dividends,stock_splits,currency,provider_symbol,retrieved_at,source
2025-08-18,775.0900268554688,775.8099975585938,756.5599975585938,767.3699951171875,764.8631591796875,16513700,0,0,USD,META,2026-07-29T16:55:24Z,yfinance
2025-08-19,767.1199951171875,767.1699829101562,749.3599853515625,751.47998046875,749.0250854492188,12286700,0,0,USD,META,2026-07-29T16:55:24Z,yfinance
2025-08-20,747.5700073242188,750.2000122070312,731,747.719970703125,745.27734375,11898200,0,0,USD,META,2026-07-29T16:55:24Z,yfinance
2025-08-21,744.7100219726562,745.5,733.1099853515625,739.0999755859375,736.6854858398438,8876300,0,0,USD,META,2026-07-29T16:55:24Z,yfinance
2025-08-22,739.22998046875,756.9000244140625,734.3900146484375,754.7899780273438,752.32421875,10612700,0,0,USD,META,2026-07-29T16:55:24Z,yfinance
2025-08-25,754.8200073242188,758.8800048828125,750.1300048828125,753.2999877929688,750.8390502929688,6861200,0,0,USD,META,2026-07-29T16:55:24Z,yfinance
2025-08-26,750.7999877929688,754.8699951171875,747.9400024414062,754.0999755859375,751.636474609375,7601800,0,0,USD,META,2026-07-29T16:55:24Z,yfinance
2025-08-27,752.2999877929688,754.1500244140625,742.8400268554688,747.3800048828125,744.9384155273438,8315400,0,0,USD,META,2026-07-29T16:55:24Z,yfinance
2025-08-28,744,753.0499877929688,740.7999877929688,751.1099853515625,748.65625,7468000,0,0,USD,META,2026-07-29T16:55:24Z,yfinance
2025-08-29,745.280029296875,747.1400146484375,735.3499755859375,738.7000122070312,736.2868041992188,9070500,0,0,USD,META,2026-07-29T16:55:24Z,yfinance
2025-09-02,726.0399780273438,736,721.72998046875,735.1099853515625,732.7085571289062,9350900,0,0,USD,META,2026-07-29T16:55:24Z,yfinance
2025-09-03,736,740.25,733.989990234375,737.0499877929688,734.6421508789062,7699300,0,0,USD,META,2026-07-29T16:55:24Z,yfinance
2025-09-04,748.5700073242188,761.1599731445312,745.8200073242188,748.6500244140625,746.2042846679688,11439100,0,0,USD,META,2026-07-29T16:55:24Z,yfinance
