date,open,high,low,close,adjusted_close,volume,dividends,stock_splits,currency,provider_symbol,retrieved_at,source
2025-07-31,239.1999969482422,241.25,228.25,228.25,224.73330688476562,1916295,0,0,EUR,SU.PA,2026-07-30T00:16:50Z,yfinance
2025-08-01,224.4499969482422,226.14999389648438,212.60000610351562,213.89999389648438,210.60438537597656,1725570,0,0,EUR,SU.PA,2026-07-30T00:16:50Z,yfinance
2025-08-04,215.35000610351562,219.4499969482422,214.75,219.3000030517578,215.92120361328125,1159790,0,0,EUR,SU.PA,2026-07-30T00:16:50Z,yfinance
2025-08-05,220.39999389648438,221.39999389648438,214.25,214.8000030517578,211.49053955078125,869800,0,0,EUR,SU.PA,2026-07-30T00:16:50Z,yfinance
2025-08-06,216.3000030517578,216.3000030517578,211.6999969482422,214.85000610351562,211.53976440429688,803290,0,0,EUR,SU.PA,2026-07-30T00:16:50Z,yfinance
2025-08-07,216.64999389648438,221.6999969482422,216.60000610351562,220.3000030517578,216.90579223632812,1685633,0,0,EUR,SU.PA,2026-07-30T00:16:50Z,yfinance
2025-08-08,220.8000030517578,222.9499969482422,219.25,222,218.57960510253906,587888,0,0,EUR,SU.PA,2026-07-30T00:16:50Z,yfinance
2025-08-11,222.75,222.8000030517578,218.1999969482422,218.64999389648438,215.2812042236328,829356,0,0,EUR,SU.PA,2026-07-30T00:16:50Z,yfinance
2025-08-12,220,222.89999389648438,220,222.1999969482422,218.77651977539062,723358,0,0,EUR,SU.PA,2026-07-30T00:16:50Z,yfinance
2025-08-13,222.5,222.5500030517578,218,218,214.6412353515625,921128,0,0,EUR,SU.PA,2026-07-30T00:16:50Z,yfinance
2025-08-14,218.0500030517578,222.10000610351562,218.0500030517578,222,218.57960510253906,713623,0,0,EUR,SU.PA,2026-07-30T00:16:50Z,yfinance
2025-08-15,221.3000030517578,223.64999389648438,220.25,220.60000610351562,217.201171875,606114,0,0,EUR,SU.PA,2026-07-30T00:16:50Z,yfinance
2025-08-18,221,221.1999969482422,217.6999969482422,218.5,215.13352966308594,607211,0,0,EUR,SU.PA,2026-07-30T00:16:50Z,yfinance
2025-08-19,219.10000610351562,223.5500030517578,218.8000030517578,223.25,219.8103485107422,707953,0,0,EUR,SU.PA,2026-07-30T00:16:50Z,yfinance
2025-08-20,220.35000610351562,220.85000610351562,215.5500030517578,215.5500030517578,212.22897338867188,732975,0,0,EUR,SU.PA,2026-07-30T00:16:50Z,yfinance
2025-08-21,215.5,216.25,213.1999969482422,215,211.6874542236328,594728,0,0,EUR,SU.PA,2026-07-30T00:16:50Z,yfinance
2025-08-22,213.3000030517578,216.3000030517578,213.3000030517578,215.39999389648438,212.08128356933594,727484,0,0,EUR,SU.PA,2026-07-30T00:16:50Z,yfinance
