date,open,high,low,close,adjusted_close,volume,dividends,stock_splits,currency,provider_symbol,retrieved_at,source
2025-08-06,17.954999923706055,17.959999084472656,17.81999969482422,17.81999969482422,17.525650092233562,0,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-08-07,17.985000610351562,18.024999618530273,17.979999542236328,18.024999618530273,17.727266645274685,0,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-08-08,17.954999923706055,18.06999969482422,17.934999465942383,18.06999969482422,17.771521826703623,0,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-08-11,17.975000381469727,17.975000381469727,17.950000762939453,17.975000381469727,17.67809192212509,0,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-08-12,17.860000610351562,18.100000381469727,17.860000610351562,18.100000381469727,17.801027789360123,0,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-08-13,18.0049991607666,18.110000610351562,17.975000381469727,18.059999465942383,17.761686505818123,0,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-08-14,17.71500015258789,17.915000915527344,17.56999969482422,17.56999969482422,17.279782120319307,325,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-08-15,17.7450008392334,17.75,17.709999084472656,17.75,17.45680660859087,0,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-08-18,17.514999389648438,17.860000610351562,17.4950008392334,17.860000610351562,17.56499137577556,0,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-08-19,17.860000610351562,17.860000610351562,17.81999969482422,17.81999969482422,17.525650092233562,553,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-08-20,17.55500030517578,17.559999465942383,17.549999237060547,17.55500030517578,17.26502913899106,0,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-08-21,17.329999923706055,17.329999923706055,17.28499984741211,17.28499984741211,16.999488644027902,0,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-08-22,17.325000762939453,17.360000610351562,17.299999237060547,17.299999237060547,17.014239744078246,0,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-08-25,17.56999969482422,17.614999771118164,17.540000915527344,17.540000915527344,17.250278038940714,0,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-08-26,17.5049991607666,17.645000457763672,17.475000381469727,17.645000457763672,17.353543264404745,0,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-08-27,17.3799991607666,17.3799991607666,17.30500030517578,17.30500030517578,17.019157404520993,0,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-08-28,17.424999237060547,17.454999923706055,17.364999771118164,17.364999771118164,17.259910613980914,0,0.1822196,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-08-29,17.344999313354492,17.389999389648438,16.875,16.875,16.772875100515687,511,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-09-01,16.774999618530273,17.020000457763672,16.770000457763672,17.020000457763672,16.91699794808588,490,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-09-02,16.674999237060547,16.674999237060547,16.55500030517578,16.55500030517578,16.454813225473384,0,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-09-03,16.65999984741211,16.735000610351562,16.65999984741211,16.735000610351562,16.63372314482702,0,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
2025-09-04,16.479999542236328,16.709999084472656,16.420000076293945,16.420000076293945,16.320628493111347,50,0,0,EUR,YEC.F,2026-07-29T16:55:24Z,yfinance
