run_id,started_at,completed_at,status,trigger,operation_count,model_budget_limit,model_budget_used,commit_sha,summary
gha-30514477459-1,2026-07-30T04:41:08Z,2026-07-30T05:33:10Z,degraded,workflow_dispatch,5,5,1.25,,Daily run degraded; 5 agent operations; 0 pending-order dispositions.
gha-30518997759-1,2026-07-30T06:16:16Z,2026-07-30T06:47:17Z,degraded,workflow_dispatch,5,5,1.25,,Daily run degraded; 5 agent operations; 0 pending-order dispositions.
gha-30613872508-1,2026-07-31T07:45:55Z,2026-07-31T08:02:28Z,succeeded,workflow_dispatch,1,5,0.25,,Daily run succeeded; 1 agent operations; 0 pending-order dispositions.
gha-30693087454-1,2026-08-01T09:07:38Z,2026-08-01T09:32:24Z,succeeded,workflow_dispatch,2,5,0.5,,Daily run succeeded; 2 agent operations; 0 pending-order dispositions.
gha-30697153110-1,2026-08-01T11:11:18Z,2026-08-01T11:48:34Z,succeeded,workflow_dispatch,3,5,0.75,,Daily run succeeded; 3 agent operations; 0 pending-order dispositions.
gha-30706962621-1,2026-08-01T15:55:55Z,2026-08-01T16:47:49Z,succeeded,schedule,5,5,1.25,,Daily run succeeded; 5 agent operations; 0 pending-order dispositions.
gha-30788518712-1,2026-08-03T05:56:22Z,2026-08-03T06:55:46Z,degraded,workflow_dispatch,5,5,1.25,,Daily run degraded; 5 agent operations; 0 pending-order dispositions.
gha-30793143744-1,2026-08-03T07:19:23Z,2026-08-03T07:52:37Z,degraded,workflow_dispatch,3,5,0.75,,Daily run degraded; 3 agent operations; 0 pending-order dispositions.
gha-30798126914-1,2026-08-03T08:44:33Z,2026-08-03T09:32:51Z,degraded,workflow_dispatch,5,5,1.25,,Daily run degraded; 5 agent operations; 0 pending-order dispositions.
daily-20260805T065913Z,2026-08-05T06:59:13Z,2026-08-05T11:35:26Z,degraded,workflow_dispatch,1,5,5,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
daily-20260805T161218Z,2026-08-05T16:12:18Z,2026-08-05T17:51:26Z,succeeded,workflow_dispatch,2,100,10,,Daily run succeeded; 2 agent operations; 0 pending-order dispositions.
daily-20260805T182233Z,2026-08-05T18:22:33Z,2026-08-05T20:06:58Z,succeeded,workflow_dispatch,9,100,45,,Daily run succeeded; 9 agent operations; 0 pending-order dispositions.
daily-20260805T220920Z,2026-08-05T22:09:20Z,2026-08-05T22:34:36Z,degraded,workflow_dispatch,2,100,10,,Daily run degraded; 2 agent operations; 0 pending-order dispositions.
daily-20260806T094838Z,2026-08-06T09:48:38Z,2026-08-06T09:56:15Z,degraded,manual,1,100,5,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
daily-20260806T120804Z,2026-08-06T12:08:04Z,2026-08-06T12:26:03Z,succeeded,manual,1,100,5,,Daily run succeeded; 1 agent operations; 0 pending-order dispositions.
daily-20260806T125642Z,2026-08-06T12:56:42Z,2026-08-06T13:15:04Z,succeeded,manual,1,100,5,,Daily run succeeded; 1 agent operations; 0 pending-order dispositions.
daily-20260806T141904Z,2026-08-06T14:19:04Z,2026-08-06T15:11:37Z,succeeded,workflow_dispatch,5,100,25,,Daily run succeeded; 5 agent operations; 0 pending-order dispositions.
daily-20260806T153546Z,2026-08-06T15:35:46Z,2026-08-06T15:55:44Z,succeeded,workflow_dispatch,2,100,10,,Daily run succeeded; 2 agent operations; 0 pending-order dispositions.
local-20260806T175531Z,2026-08-06T17:56:07Z,2026-08-06T19:21:36Z,degraded,local,8,5,0,,Daily run degraded; 8 agent operations; 0 pending-order dispositions.
local-20260806T212356Z,2026-08-06T21:26:50Z,2026-08-06T21:34:57Z,degraded,local,1,5,0.25,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
local-20260807T085336Z-terafab,2026-08-07T08:54:30Z,2026-08-07T09:35:34Z,degraded,local-user-request,16,5,0,,Daily run degraded; 16 agent operations; 0 pending-order dispositions.
daily-20260807T103239Z,2026-08-07T10:32:39Z,2026-08-07T10:46:58Z,degraded,workflow_dispatch,1,100,5,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
local-daily-20260807T161139Z,2026-08-07T16:11:49Z,2026-08-07T16:49:41Z,degraded,local,3,5,0,,Daily run degraded; 3 agent operations; 0 pending-order dispositions.
daily-20260808T110128Z,2026-08-08T11:01:28Z,2026-08-08T11:13:14Z,degraded,workflow_dispatch,1,100,5,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
daily-20260808T113248Z,2026-08-08T11:32:48Z,2026-08-08T12:35:28Z,succeeded,workflow_dispatch,5,100,25,,Daily run succeeded; 5 agent operations; 0 pending-order dispositions.
daily-20260808T134654Z,2026-08-08T13:46:54Z,2026-08-08T17:06:34Z,degraded,workflow_dispatch,3,100,15,,Daily run degraded; 3 agent operations; 0 pending-order dispositions.
daily-20260808T192334Z,2026-08-08T19:23:34Z,2026-08-08T19:57:20Z,degraded,workflow_dispatch,3,100,15,,Daily run degraded; 3 agent operations; 0 pending-order dispositions.
daily-20260809T110514Z,2026-08-09T11:05:14Z,2026-08-09T11:20:11Z,degraded,workflow_dispatch,2,100,6,,Daily run degraded; 2 agent operations; 0 pending-order dispositions.
daily-20260809T114356Z,2026-08-09T11:43:56Z,2026-08-09T11:54:23Z,degraded,workflow_dispatch,1,100,1,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
daily-20260809T141210Z,2026-08-09T14:12:10Z,2026-08-09T14:23:17Z,degraded,workflow_dispatch,1,100,1,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
daily-20260809T150359Z,2026-08-09T15:03:59Z,2026-08-09T15:35:15Z,degraded,workflow_dispatch,3,100,15,,Daily run degraded; 3 agent operations; 0 pending-order dispositions.
daily-20260809T201256Z,2026-08-09T20:12:56Z,2026-08-09T20:53:26Z,degraded,workflow_dispatch,3,100,15,,Daily run degraded; 3 agent operations; 0 pending-order dispositions.
daily-20260809T212714Z,2026-08-09T21:27:14Z,2026-08-09T22:03:47Z,degraded,workflow_dispatch,3,100,15,,Daily run degraded; 3 agent operations; 0 pending-order dispositions.
daily-20260809T223236Z,2026-08-09T22:32:36Z,2026-08-09T23:13:06Z,degraded,workflow_dispatch,4,100,20,,Daily run degraded; 4 agent operations; 0 pending-order dispositions.
daily-20260810T071837Z,2026-08-10T07:18:37Z,2026-08-10T07:46:24Z,degraded,workflow_dispatch,3,100,15,,Daily run degraded; 3 agent operations; 0 pending-order dispositions.
daily-20260810T083001Z,2026-08-10T08:30:01Z,2026-08-10T09:01:02Z,degraded,workflow_dispatch,1,100,5,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
daily-20260810T093952Z,2026-08-10T09:39:52Z,2026-08-10T09:48:43Z,degraded,workflow_dispatch,1,100,1,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
daily-20260810T104335Z,2026-08-10T10:43:35Z,2026-08-10T10:47:54Z,succeeded,workflow_dispatch,0,100,0,,Daily run succeeded; 0 agent operations; 0 pending-order dispositions.
daily-20260810T114443Z,2026-08-10T11:44:43Z,2026-08-10T11:52:10Z,succeeded,workflow_dispatch,0,100,0,,Daily run succeeded; 0 agent operations; 0 pending-order dispositions.
daily-20260810T160009Z,2026-08-10T16:00:09Z,2026-08-10T16:11:32Z,degraded,schedule,1,100,1,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
daily-20260810T173203Z,2026-08-10T17:32:03Z,2026-08-10T17:35:48Z,degraded,workflow_dispatch,0,100,0,,Daily run degraded; 0 agent operations; 0 pending-order dispositions.
