order_id,signal_id,strategy_id,allocation_intent_id,created_at,status,fill_policy,not_before,expires_at,order_type,limit_price,slippage_bps,fee_model,currency,run_id
order_371f356c9fa026750350,signal_14939473c94cb7b9b567,strategy_bd005fc3733b1475b6f9,,2026-07-28T07:36:01Z,cancelled,next_open,2026-07-28T07:36:01Z,2026-07-29T07:13:53Z,market,,5,fixed_plus_bps,USD,local-20260728-daily-all-24
order_3b1467697b731e2bf689,signal_6c82d41c9f217bdab771,strategy_bd005fc3733b1475b6f9,,2026-07-28T07:52:26Z,cancelled,next_open,2026-07-28T07:52:26Z,2026-07-29T07:45:53Z,market,,5,fixed_plus_bps,USD,local-20260728-daily-all-25
order_6b76dfe1f4b30a853cf2,signal_41940fa33b3fe251802e,strategy_ef910e9aff5203a0b901,allocation_intent_206644feb73549257619,2026-09-03T22:03:21Z,cancelled,next_open,2026-09-03T22:03:21Z,2026-09-04T21:59:00Z,market,,5,fixed_plus_bps,USD,daily-20260903T213453Z
order_745a7a020ecf89d5734d,signal_98939c5cb11dd6d9d2ae,strategy_bd005fc3733b1475b6f9,,2026-07-28T08:42:27Z,cancelled,next_open,2026-07-28T08:42:27Z,2026-07-29T08:21:25Z,market,,5,fixed_plus_bps,USD,local-20260728-daily-all-29
order_ba5e4e96c8cfa532417d,signal_d603cd3f5522309c58f6,strategy_8caa208dfc702a2584a7,allocation_intent_917ea6eb1152c64f298c,2026-09-04T00:07:12Z,pending,next_open,2026-09-04T00:07:12Z,2026-09-05T00:15:00Z,market,,5,fixed_plus_bps,EUR,daily-20260903T235602Z
order_de1bb12ec4a52b7b8c66,signal_d99961410e4a2b65d24a,strategy_e4ada1a4934691d1f7ee,allocation_intent_5988db00b0dab41c4d78,2026-09-03T21:50:09Z,cancelled,next_open,2026-09-03T21:50:09Z,2026-09-04T21:41:23Z,market,,5,fixed_plus_bps,USD,daily-20260903T213453Z
