channel_id,handle,status,video_scope,transcript_languages,prefer_human,last_seen_video_id
UCESLZhusAkFfsNsApnjF_Cg,@allin,active,regular,en|en-US|en-GB,true,muRIXCDw-k0
UCIFn7ONIJHyC-lMnb7Fm_jw,@thelimitingfactor,active,regular,en|en-US|en-GB,true,SuSYegb8iK0
UCOOSDCjFzHfnGoV8iNLC65A,@ConnectingODots,active,regular,en|en-US|en-GB,true,Ejsft2oPCtM
UCS01CiRDAiyhR_mTHXDW23A,@DumbMoneyLive,active,regular,en|en-US|en-GB,true,u-AXyF9kY9k
UCrGLm-Drgv0vbbemwwHeXJw,@CouchInvestor,active,regular,en|en-US|en-GB,true,pMbb5BfWUCY
UCrTTBSUr0zhPU56UQljag5A,@Value-Investing,active,regular,en|en-US|en-GB,true,AGaZ5XbmRXg
