source_id,url,canonical_url,source_type,title,publisher,license,status,content_hash,first_seen_at,last_checked_at,last_changed_at,related_entity_ids
source_rio_fy2025_results,https://www.riotinto.com/en/news/releases/2026/rio-tinto-solid-results-underpinned-by-8-cueq-production-and-sharper-cost-discipline,https://www.riotinto.com/en/news/releases/2026/rio-tinto-solid-results-underpinned-by-8-cueq-production-and-sharper-cost-discipline,issuer-release,Rio Tinto 2025 full-year results,Rio Tinto plc,,available,c1e5b0a09a24e38de05652c9d1ff99b53dc25c643834dc2611e28a1f522e2dab,2026-07-27T22:28:30Z,2026-07-27T22:27:56Z,2026-07-27T22:27:56Z,idea_critical_minerals_copper|security_1c055eb9b2bb1f5a8ff2
source_rio_q2_2026_production_results,https://www.riotinto.com/en/news/releases/2026/rio-tinto-releases-second-quarter-2026-production-results,https://www.riotinto.com/en/news/releases/2026/rio-tinto-releases-second-quarter-2026-production-results,issuer-release,Rio Tinto second-quarter 2026 production results,Rio Tinto plc,,available,851e917983c691d21f34f9f07c48d261a1e03e7f31276789693152e3542bdf5f,2026-07-27T22:28:36Z,2026-07-27T22:27:56Z,2026-07-27T22:27:56Z,idea_critical_minerals_copper|security_1c055eb9b2bb1f5a8ff2
source_rklb_q1_2026_10q,https://www.sec.gov/Archives/edgar/data/1819994/000181999426000028/rklb-20260331.htm,https://www.sec.gov/Archives/edgar/data/1819994/000181999426000028/rklb-20260331.htm,filing,Rocket Lab Q1 2026 Form 10-Q,U.S. Securities and Exchange Commission,,available,ed5d194eea341036c3624c5916b9c97d9dc78987c773d358ef5089f9c4aebaa2,2026-07-27T23:03:03Z,2026-07-27T23:02:27Z,2026-07-27T23:02:27Z,idea_commercial_space_infrastructure|security_7ca095d63423c55a90e3
source_rtx_q2_2026_10q_sec,https://www.sec.gov/Archives/edgar/data/101829/000010182926000027/rtx-20260630.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182926000027/rtx-20260630.htm,filing,RTX Corporation Q2 2026 Form 10-Q,U.S. Securities and Exchange Commission,,available,9f013f79edcb3e5eba91055c1da62413a58f51ba47e7380d33744949362f3ec2,2026-07-28T00:05:46Z,2026-07-28T00:05:16Z,2026-07-28T00:05:16Z,idea_defense_aerospace|security_59304f90c440def31dc5
source_rtx_q2_2026_results,https://www.rtx.com/news/news-center/2026/07/23/rtx-reports-q2-2026-results,https://www.rtx.com/news/news-center/2026/07/23/rtx-reports-q2-2026-results,issuer_release,RTX reports Q2 2026 results,RTX Corporation,,available,980e42dfeb9915dc34df466e4f6c41eb65e07aabacce7e7bc75a5e40c073f46b,2026-07-28T00:05:52Z,2026-07-28T00:05:16Z,2026-07-28T00:05:16Z,idea_defense_aerospace|security_59304f90c440def31dc5
source_rxrx_q1_2026_10q,https://www.sec.gov/Archives/edgar/data/1601830/000160183026000078/rxrx-20260331.htm,https://www.sec.gov/Archives/edgar/data/1601830/000160183026000078/rxrx-20260331.htm,filing,Recursion Pharmaceuticals Q1 2026 Form 10-Q,U.S. Securities and Exchange Commission,,available,8b4dc7f64d6e33c66565fc7a4134d5b9a5da5ea3b217e3649094d869ba0355c3,2026-07-27T23:19:37Z,2026-07-27T23:18:30Z,2026-07-27T23:18:30Z,idea_ai_native_drug_discovery|idea_precision_biology_healthcare_automation|security_ed7d5b616a196969c815
source_scco_q1_2026_results,https://southerncoppercorp.com/wp-content/uploads/2026/04/pr260428.pdf,https://southerncoppercorp.com/wp-content/uploads/2026/04/pr260428.pdf,issuer_release,Southern Copper Q1 2026 results,Southern Copper Corporation,,available,324609bfee42c77e0ccc77d65e258787643334e0df12c8d532c420932108def6,2026-07-27T23:38:08Z,2026-07-27T23:38:30Z,2026-07-27T23:38:30Z,idea_critical_minerals_copper|security_6ad1af8d10d6276a0221
source_sgml_july_2026_update,https://www.sec.gov/Archives/edgar/data/1848309/000129281426003854/ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1848309/000129281426003854/ex99-1.htm,filing_exhibit,Sigma Lithium July 2026 production and environmental update,U.S. Securities and Exchange Commission,,available,81cd332f53f96f01fddd354b27ce7264c9aeaaa2aa610ec2596fd2cc894aaddd,2026-07-27T22:46:45Z,2026-07-27T22:45:40Z,2026-07-27T22:45:40Z,idea_critical_minerals_lithium|security_4627aea1bf7d8943d3d8
source_sgml_q1_2026_mda,https://www.sec.gov/Archives/edgar/data/1848309/000129281426003065/ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1848309/000129281426003065/ex99-1.htm,filing_exhibit,Sigma Lithium Q1 2026 management discussion and analysis,U.S. Securities and Exchange Commission,,available,9fb06d6cd00cb27b07aeac6f04e8fecebeddfe13771baadfd32576c4a27656a9,2026-07-27T22:46:43Z,2026-07-27T22:45:40Z,2026-07-27T22:45:40Z,idea_critical_minerals_lithium|security_4627aea1bf7d8943d3d8
source_sqm_q1_2026_6k,https://www.sec.gov/Archives/edgar/data/909037/000090903726000026/a6-k_1q2026earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/909037/000090903726000026/a6-k_1q2026earningsrelease.htm,filing,SQM Q1 2026 Form 6-K earnings release,U.S. Securities and Exchange Commission,,available,4356fa3145aa9f294ce907198cd0050cf32733d6bfe94e4257286a0335de7afa,2026-07-28T00:16:00Z,2026-07-28T00:15:09Z,2026-07-28T00:15:09Z,idea_critical_minerals_lithium|security_9d4049ed6669a52815d6
source_ternium_july_2026_sustainability_6k,https://www.sec.gov/Archives/edgar/data/1342874/000155485526001509/MainDocument.htm,https://www.sec.gov/Archives/edgar/data/1342874/000155485526001509/MainDocument.htm,filing,Ternium 8 July 2026 sustainability Form 6-K,U.S. Securities and Exchange Commission,,available,5b10e200e156cb6e2c5874519bda9d717d8fae1d327ba90caf4f2cb4993e3089,2026-07-28T00:52:06Z,2026-07-28T00:52:52Z,2026-07-28T00:50:38Z,idea_nearshoring_friendshoring_manufacturing|security_2c779e81c27b78c556bb
source_ternium_q1_2026_results,https://www.sec.gov/Archives/edgar/data/1342874/000134287426000030/prternium1q2026.htm,https://www.sec.gov/Archives/edgar/data/1342874/000134287426000030/prternium1q2026.htm,filing,Ternium Q1 2026 results,U.S. Securities and Exchange Commission,,available,af838871cbdd3ac73d3d9849ebde2ced6f5d7ed190efe18cfc690d6d121bd680,2026-07-28T00:52:04Z,2026-07-28T00:52:52Z,2026-07-28T00:50:38Z,idea_nearshoring_friendshoring_manufacturing|security_2c779e81c27b78c556bb
